t,E_ex,E_an,E_zee,E_tot
0.39000000,7.3022497462873303e4,2.6852942605839979e-20,-5.9309848124627134e-16,7.3022497462873303e4
0.39250000,7.2853026934063790e4,2.6721464965223293e-20,-8.5538684259200954e-16,7.2853026934063790e4
0.39500000,7.2855636967715924e4,2.6820236461158794e-20,4.6923479451014701e-17,7.2855636967715924e4
0.39750000,7.3364178573257959e4,2.6801760088163678e-20,5.1321203837996695e-17,7.3364178573257959e4
0.40000000,7.3345565068819706e4,2.6850380845476167e-20,-1.0194479416391650e-15,7.3345565068819706e4
0.40250000,7.2777271584280767e4,2.6758659351712323e-20,5.6171319686198441e-16,7.2777271584280767e4
0.40500000,7.3311289979744091e4,2.6601050949025398e-20,-1.7296004947756352e-15,7.3311289979744091e4
0.40750000,7.3112673417648548e4,2.6788250597152231e-20,-6.7819009538837640e-16,7.3112673417648548e4
0.41000000,7.3093684758210322e4,2.6666562516228533e-20,-4.3156262616698435e-16,7.3093684758210322e4
0.41250000,7.3029252145640654e4,2.6960483910960076e-20,-4.4053680257530110e-16,7.3029252145640654e4
0.41500000,7.3163667243495220e4,2.6685905569780583e-20,-1.1550326925643421e-16,7.3163667243495220e4
0.41750000,7.2869036170891268e4,2.6720773446645048e-20,2.5865408151772098e-16,7.2869036170891268e4
0.42000000,7.2838182069303846e4,2.6817517017153667e-20,5.1939004582518908e-17,7.2838182069303846e4
0.42250000,7.2677917508514991e4,2.6649073550722416e-20,5.8764329642831039e-16,7.2677917508514991e4
0.42500000,7.2946282015986799e4,2.6753840948973908e-20,7.6476501356540459e-16,7.2946282015986799e4
0.42750000,7.2621578303259317e4,2.6694251567956125e-20,-9.6248039093513716e-16,7.2621578303259317e4
0.43000000,7.3059712554604514e4,2.6782775180191487e-20,-2.6844348274263981e-15,7.3059712554604514e4
0.43250000,7.2942883744343839e4,2.6806761541527575e-20,-2.0376449468754879e-17,7.2942883744343839e4
0.43500000,7.3154451204349520e4,2.6787365504685399e-20,-2.9114642315476999e-16,7.3154451204349520e4
0.43750000,7.3044001642124116e4,2.6927746207872891e-20,-7.3650728844669512e-16,7.3044001642124116e4
0.44000000,7.3247994135028566e4,2.6647762775766299e-20,-7.2907087106163047e-17,7.3247994135028566e4
0.44250000,7.3096868649528726e4,2.6730849718397359e-20,4.9227167443454076e-16,7.3096868649528726e4
0.44500000,7.2761530011250332e4,2.6650910743067091e-20,2.9811627002095583e-16,7.2761530011250332e4
0.44750000,7.2994518542146485e4,2.6837413858142839e-20,-8.1961450582589447e-16,7.2994518542146485e4
0.45000000,7.3195777952972086e4,2.6723464305783560e-20,-1.2936285773858230e-15,7.3195777952972086e4
0.45250000,7.2904152489206215e4,2.6760694349030284e-20,-1.3682641822292328e-16,7.2904152489206215e4
0.45500000,7.2950654008633501e4,2.6732326483378022e-20,-2.0235850263654105e-15,7.2950654008633501e4
0.45750000,7.3013393741866210e4,2.6879474174810646e-20,-5.1775865203896247e-16,7.3013393741866210e4
0.46000000,7.2903390087082385e4,2.6876924802623691e-20,-7.9690660044338774e-16,7.2903390087082385e4
0.46250000,7.3147773856119398e4,2.6617381698467922e-20,-1.2011098501507578e-15,7.3147773856119398e4
0.46500000,7.2373604407913022e4,2.6894042682135291e-20,-6.4406364815523437e-16,7.2373604407913022e4
0.46750000,7.3258776377878181e4,2.6550947070161269e-20,1.0199379721757193e-17,7.3258776377878181e4
0.47000000,7.2832741103733686e4,2.6970233538435681e-20,5.8506661541651469e-16,7.2832741103733686e4
0.47250000,7.2853632828532485e4,2.6723874736317715e-20,3.2974643933853518e-16,7.2853632828532485e4
0.47500000,7.3179769842212583e4,2.6852327135858783e-20,-5.8152876441400003e-16,7.3179769842212583e4
0.47750000,7.2988740186151801e4,2.6767744820989188e-20,-4.7377202133275598e-16,7.2988740186151801e4
0.48000000,7.2961573054151129e4,2.6885229081247026e-20,-3.8186822841046811e-16,7.2961573054151129e4
0.48250000,7.3022312861671366e4,2.6758325669992370e-20,-6.4064516782393760e-16,7.3022312861671366e4
0.48500000,7.3068157316893674e4,2.6890569588559905e-20,-7.8021943778198857e-16,7.3068157316893674e4
0.48750000,7.2917489901376845e4,2.6955385939148967e-20,-5.3391424884408345e-16,7.2917489901376845e4
0.49000000,7.2933275554354041e4,2.6690118070369545e-20,9.5219573427538191e-16,7.2933275554354041e4
0.49250000,7.2624709709367875e4,2.6985774443453516e-20,-2.6502762934095279e-16,7.2624709709367875e4
0.49500000,7.3161804664812837e4,2.6928984347031304e-20,4.6358286296440311e-16,7.3161804664812837e4
0.49750000,7.3006672545391528e4,2.6774635830118904e-20,-3.4913054370365656e-16,7.3006672545391528e4
0.50000000,7.2722564693631051e4,2.6773781407816065e-20,-4.4135200621897942e-16,7.2722564693631051e4
0.50250000,7.2749206437481698e4,2.6801066408949452e-20,-3.3545246984875338e-16,7.2749206437481698e4
0.50500000,7.3226436443390194e4,2.6616777461867448e-20,1.4966628813402489e-16,7.3226436443390194e4
0.50750000,7.2830107226726366e4,2.6914178873260518e-20,-1.4835611002694477e-16,7.2830107226726366e4
0.51000000,7.2801753353407228e4,2.6780934699572793e-20,-3.4666158885828467e-16,7.2801753353407228e4
0.51250000,7.3145878852281836e4,2.6694011764546634e-20,-1.8800203972985735e-15,7.3145878852281836e4
0.51500000,7.3066676560105756e4,2.7043944536291286e-20,-8.1471415131121008e-17,7.3066676560105756e4
0.51750000,7.3096750129281660e4,2.6651517577135980e-20,2.8826691781836209e-16,7.3096750129281660e4
0.52000000,7.3028608552666512e4,2.6770997901151342e-20,-7.4531301434008198e-16,7.3028608552666512e4
0.52250000,7.3379815489498375e4,2.6753324140537972e-20,-1.2387854245674995e-15,7.3379815489498375e4
0.52500000,7.2872491394621407e4,2.6932417499010898e-20,-9.1182511078571159e-17,7.2872491394621407e4
0.52750000,7.2988401315803960e4,2.6753972649991617e-20,-2.3528580576902311e-16,7.2988401315803960e4
0.53000000,7.2943521399791993e4,2.7000518971993358e-20,-4.9286858146880982e-16,7.2943521399791993e4
0.53250000,7.3074916588287291e4,2.6567325363089047e-20,-7.1063411655295722e-16,7.3074916588287291e4
0.53500000,7.2724839762533811e4,2.7061878748356080e-20,-4.5126749953666116e-16,7.2724839762533811e4
0.53750000,7.3049879595184539e4,2.6593982819003734e-20,-8.1322045921657414e-17,7.3049879595184539e4
0.54000000,7.3016129299009801e4,2.7051770413199773e-20,-9.4724871998060585e-16,7.3016129299009801e4
0.54250000,7.3315212999765732e4,2.6789084192315175e-20,-1.0464569962282244e-16,7.3315212999765732e4
0.54500000,7.2807385181789592e4,2.7000041992102032e-20,-7.2781193439328275e-17,7.2807385181789592e4
0.54750000,7.2993830258263391e4,2.6751201140927591e-20,-2.4498889512653799e-16,7.2993830258263391e4
0.55000000,7.2494270329329185e4,2.6975011799987298e-20,-1.6779018734044817e-15,7.2494270329329185e4
0.55250000,7.3086331943114812e4,2.6699964774027813e-20,5.8968028772233413e-16,7.3086331943114812e4
0.55500000,7.2555568400254022e4,2.6990170212637966e-20,-8.3608498850652810e-16,7.2555568400254022e4
0.55750000,7.3108727993914028e4,2.6930773316906808e-20,-6.2760541407752410e-16,7.3108727993914028e4
0.56000000,7.2382388166191347e4,2.6839669476761745e-20,1.7506138074076297e-16,7.2382388166191347e4
0.56250000,7.2702356617573736e4,2.6946770045937039e-20,3.5155798473614859e-17,7.2702356617573736e4
0.56500000,7.3019701889083866e4,2.6823621287547076e-20,-1.9384451694505399e-16,7.3019701889083866e4
0.56750000,7.3120543024287545e4,2.6886937240513449e-20,-2.0706172351630540e-16,7.3120543024287545e4
0.57000000,7.3126113729017903e4,2.6885635885650026e-20,-3.0854999531098169e-16,7.3126113729017903e4
0.57250000,7.2910256820962619e4,2.6946554826571841e-20,3.6889671405575695e-16,7.2910256820962619e4
0.57500000,7.2828729364450512e4,2.6948768592775026e-20,-3.2778885875436803e-16,7.2828729364450512e4
0.57750000,7.2630737285159310e4,2.6847150017025904e-20,2.0496187381453027e-16,7.2630737285159310e4
0.58000000,7.2728813616172833e4,2.7018968527569381e-20,-1.2252952903180670e-15,7.2728813616172833e4
0.58250000,7.2903960344643754e4,2.7043176659140557e-20,-1.0027935065142615e-15,7.2903960344643754e4
0.58500000,7.2608630820330509e4,2.6921288731839890e-20,9.7936274814921380e-18,7.2608630820330509e4
0.58750000,7.2907127500912597e4,2.6900962669284310e-20,1.0401258445533939e-16,7.2907127500912597e4
0.59000000,7.2827097820432202e4,2.6879977213160569e-20,-1.5399580747882210e-16,7.2827097820432202e4
