t,mx_avg,my_avg,mz_avg
0.57250000,-0.00112578,-0.00261027,-0.00012158
0.57500000,0.00100033,-0.00083698,-0.00008141
0.57750000,-0.00062549,0.00345268,0.00136767
0.58000000,0.00373930,0.00229944,-0.00165495
0.58250000,0.00306028,-0.00070586,0.00315544
0.58500000,-0.00002989,0.00143116,-0.00013055
0.58750000,-0.00031742,0.00349090,0.00051386
0.59000000,0.00046996,0.00392809,-0.00075028
0.59250000,-0.00107824,-0.00210158,-0.00343374
0.59500000,0.00287033,0.00071748,-0.00088196
0.59750000,0.00188834,-0.00102799,0.00437459
0.60000000,0.00186152,0.00100332,0.00011155
0.60250000,-0.00049032,-0.00017221,-0.00024233
0.60500000,0.00142367,0.00226006,0.00039015
0.60750000,-0.00033602,0.00145201,-0.00264624
0.61000000,0.00041288,0.00131107,0.00450618
0.61250000,0.00226576,-0.00249078,0.00121365
0.61500000,0.00103103,0.00031656,0.00024908
0.61750000,0.00299862,-0.00451515,0.00418273
0.62000000,0.00001302,0.00410014,0.00147700
0.62250000,0.00497498,-0.00340186,-0.00044789
0.62500000,0.00061456,0.00064501,-0.00227648
0.62750000,-0.00261056,-0.00342916,-0.00045923
0.63000000,0.00301049,-0.00115173,-0.00125646
0.63250000,0.00226483,-0.00409179,-0.00054112
0.63500000,0.00097391,0.00250023,0.00117024
0.63750000,0.00357884,0.00028144,-0.00090371
0.64000000,0.00138793,-0.00071337,-0.00150848
0.64250000,0.00030240,-0.00234358,0.00076834
0.64500000,-0.00013078,0.00309965,0.00222651
0.64750000,0.00175444,-0.00056891,-0.00161804
0.65000000,0.00125050,-0.00373423,-0.00164724
0.65250000,0.00750823,0.00392184,0.00143565
0.65500000,-0.00203466,0.00020874,0.00150125
0.65750000,0.00192909,-0.00092139,0.00286788
0.66000000,-0.00309589,0.00118339,-0.00240880
0.66250000,0.00296133,0.00188469,-0.00107301
0.66500000,0.00082989,-0.00013162,0.00081002
0.66750000,0.00224522,0.00191619,0.00028141
0.67000000,0.00341855,-0.00231238,0.00217358
0.67250000,0.00242189,-0.00031296,-0.00199085
0.67500000,0.00208909,-0.00080389,0.00297049
0.67750000,-0.00021798,-0.00116969,-0.00022073
0.68000000,0.00078850,-0.00241005,-0.00176488
0.68250000,0.00262166,-0.00536135,-0.00006551
0.68500000,-0.00036037,0.00187940,-0.00241518
0.68750000,0.00090859,0.00075354,0.00493877
0.69000000,-0.00196325,0.00000569,-0.00250352
0.69250000,0.00225919,0.00004188,-0.00258918
0.69500000,-0.00051708,0.00447604,0.00468596
0.69750000,-0.00198846,0.00116177,-0.00141696
0.70000000,-0.00233937,0.00330155,0.00224357
0.70250000,-0.00093308,-0.00306902,-0.00067585
0.70500000,-0.00209727,-0.00151027,0.00367657
